Nome,Acquistato
LUKAKU R,1
CRISTIANO RONALDO,1
ZAPATA D,0
JOAO PEDRO,0
DZEKO,0
CAPUTO,1
MARTINEZ L,1
ILICIC,1
MURIEL,1
DYBALA,1
MILIK,1
BELOTTI,1
CORREA,0
BERARDI,1
HIGUAIN,0
PALACIO,1
SIMEONE,0
MERTENS,1
BOGA,0
ORSOLINI,1
KOUAME',1
PIATEK,0
GABBIADINI,0
INSIGNE,0
LLORENTE,1
OKAKA,1
DONNARUMMA AL,0
GERVINHO,0
QUAGLIARELLA,1
PETAGNA,1
BALOTELLI,0
PANDEV,1
CAICEDO,0
FALCO,0
SANSONE N,0
LAPADULA,1
VLAHOVIC,1
CORNELIUS,0
ZAZA,0
PINAMONTI,0
LOZANO,0
SANCHEZ A,0
PAVOLETTI,0
LA MANTIA,0
LASAGNA,0
DI CARMINE,1
RAFAEL LEAO,0
FARIAS,0
SALCEDO E,0
DEFREL,0
INGLESE,0
BONAZZOLI,0
CAPRARI,0
NESTOROVSKI,0
TORREGROSSA,0
KARAMOH,0
SPROCATI,0
BOATENG,0
IAGO FALQUE,1
CERRI,0
BABACAR,0
PUSSETTO,0
PAZZINI,1
REBIC,0
DESTRO,0
SANTANDER,0
SKOV OLSEN,0
POLITANO,0
STEPINSKI,0
BARROW,0
RAGATZU,0
GUMUS,1
ESPOSITO SE,0
RIGONI E,1
AYE',1
SANABRIA,1
FLOCCARI,0
KALINIC,1
CLEONISE,1
SOTTIL,1
PALOSCHI,1
PEDRO,0
CAMBIAGHI,0
PICCOLI,1
JUWARA,0
HAN,1
THEREAU,0
FAVILLI,0
PJACA,1
ADEKANYE,0
LO FASO,0
TUTINO,0
ADORANTE,0
SILIGARDI,1
ANTONUCCI,0
CANGIANO,0
BAHLOULI,0
MATRI,0
RASPADORI,0
MONCINI,0
EDERA,0
MILLICO,0
RAUTI,0
TEODORCZYK,0
TUPTA,0
TRAORE' AM,0
