giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
GOLLINI,6,0,2,0,0,0,0,0,0,0
CASTAGNE,7,1,0,0,0,0,0,0,0,0
DJIMSITI,6,0,0,0,0,0,0,0,0,0
GOSENS,6,0,0,0,0,0,0,0,0,0
MASIELLO A,6,0,0,0,0,0,0,0,0,0
ARANA,6,0,0,0,0,0,0,0,0,0
PALOMINO,5,0,0,0,0,0,1,0,0,0
GOMEZ A,6.5,0,0,0,0,0,0,0,0,1
MALINOVSKYI,6,0,0,0,0,0,0,0,0,0
PASALIC,5.5,0,0,0,0,0,0,1,0,0
DE ROON,5.5,0,0,0,0,0,0,1,0,0
ILICIC,7,1,0,0,0,0,0,0,0,0
MURIEL,6,0,0,0,0,0,0,0,0,0
ZAPATA D,5,0,0,0,0,0,0,0,0,0
GASPERINI,6.5,0,0,0,0,0,0,0,0,0
SKORUPSKI,5.5,0,2,0,0,0,0,0,0,0
BANI,6.5,0,0,0,0,0,0,0,0,0
DENSWIL,5,0,0,0,0,0,0,0,0,0
DIJKS,6,0,0,0,0,0,0,1,0,0
TOMIYASU,5.5,0,0,0,0,0,0,1,0,0
SORIANO,6,0,0,0,0,0,0,0,0,0
MEDEL,6,0,0,0,0,0,0,0,0,0
KREJCI,6,0,0,0,0,0,0,0,0,0
POLI,6,0,0,0,0,0,0,1,0,0
DESTRO,5.5,0,0,0,0,0,0,0,0,0
ORSOLINI,6,0,0,0,0,0,0,0,0,0
PALACIO,5.5,0,0,0,0,0,0,0,0,0
SANSONE N,7,0,0,0,0,1,0,0,0,0
SANTANDER,6,0,0,0,0,0,0,0,0,0
MIHAJLOVIC,6,0,0,0,0,0,0,0,0,0
JORONEN,6,0,0,0,0,0,0,0,0,0
CHANCELLOR,6.5,0,0,0,0,0,0,1,0,0
CISTANA,7,0,0,0,0,0,0,0,0,0
GASTALDELLO,6,0,0,0,0,0,0,0,0,0
MATEJU,6.5,0,0,0,0,0,0,1,0,0
SABELLI,6,0,0,0,0,0,0,0,0,0
ROMULO,7,1,0,0,0,0,0,0,0,0
ZMRHAL,6,0,0,0,0,0,0,0,0,0
BISOLI,6.5,0,0,0,0,0,0,1,0,0
SPALEK,5.5,0,0,0,0,0,0,0,0,0
TONALI,7,0,0,0,0,0,0,0,0,0
AYE',5.5,0,0,0,0,0,0,1,0,0
DONNARUMMA AL,6,0,0,0,0,0,0,0,0,0
MATRI,6,0,0,0,0,0,0,0,0,0
CORINI,7,0,0,0,0,0,0,0,0,0
OLSEN,6,0,1,0,0,0,0,0,0,0
CACCIATORE,6,0,0,0,0,0,0,0,0,0
CEPPITELLI,7,0,0,0,0,0,0,0,0,0
PELLEGRINI LU,6,0,0,0,0,0,0,0,0,0
PISACANE,6,0,0,0,0,0,0,0,0,0
CASTRO,6.5,0,0,0,0,0,0,0,0,0
CIGARINI,6,0,0,0,0,0,0,0,0,0
IONITA,6.5,0,0,0,0,0,0,0,0,1
OLIVA,6,0,0,0,0,0,0,0,0,0
ROG,6,0,0,0,0,0,0,0,0,0
