giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
GOLLINI,7,0,0,0,0,0,0,0,0,0
KJAER,6.5,0,0,0,0,0,0,1,0,0
CASTAGNE,6.5,0,0,0,0,0,0,0,0,0
GOSENS,6,0,0,0,0,0,0,0,0,0
HATEBOER,6.5,0,0,0,0,0,0,0,0,0
PALOMINO,6,0,0,0,0,0,0,0,0,0
TOLOI,7.5,0,0,0,0,0,0,0,0,0
DE ROON,7,1,0,0,0,0,0,0,0,0
FREULER,6.5,0,0,0,0,0,0,0,0,1
GOMEZ A,7,0,0,0,0,0,0,0,0,0
MALINOVSKYI,6.5,0,0,0,0,0,0,0,0,0
PASALIC,6,0,0,0,0,0,0,0,0,0
ILICIC,5.5,0,0,0,0,0,0,0,0,0
ZAPATA D,7,1,0,0,0,0,0,0,0,0
SKORUPSKI,6,0,0,0,0,0,0,0,0,0
BANI,6,0,0,0,0,0,0,0,0,0
DENSWIL,6,0,0,0,0,0,0,1,0,0
TOMIYASU,5.5,0,0,0,0,0,0,1,0,0
SORIANO,6,0,0,0,0,0,0,0,0,0
DZEMAILI,6,0,0,0,0,0,0,0,0,0
KREJCI,5.5,0,0,0,0,0,0,0,0,0
POLI,5.5,0,0,0,0,0,0,1,0,0
MEDEL,6.5,0,0,0,0,0,0,0,0,0
ORSOLINI,5,0,0,0,0,0,0,0,0,0
PALACIO,6,0,0,0,0,0,0,0,0,0
SANSONE N,4.5,0,0,0,1,0,0,0,0,0
SANTANDER,6,0,0,0,0,0,0,0,0,0
SKOV OLSEN,6,0,0,0,0,0,0,1,0,0
JORONEN,6.5,0,2,0,0,0,0,0,0,0
CHANCELLOR,6,0,0,0,0,0,1,0,0,0
CISTANA,6,0,0,0,0,0,0,1,0,0
MARTELLA,6,0,0,0,0,0,0,0,0,0
MATEJU,6,0,0,0,0,0,0,0,0,0
SABELLI,6,0,0,0,0,0,0,0,0,0
TONALI,6.5,0,0,0,0,0,0,0,0,0
ROMULO,6,0,0,0,0,0,0,0,0,1
BISOLI,5.5,0,0,0,0,0,0,0,0,0
DESSENA,6,0,0,0,0,0,0,0,0,0
MATRI,5.5,0,0,0,0,0,0,0,0,0
AYE',6,0,0,0,0,0,0,0,0,0
BALOTELLI,5.5,0,0,0,0,0,0,0,0,0
DONNARUMMA AL,6.5,1,0,0,0,0,0,0,0,0
OLSEN,7,0,0,0,0,0,0,0,0,0
PISACANE,7,0,0,0,0,0,0,0,0,0
CACCIATORE,5.5,0,0,0,0,0,0,0,0,0
CEPPITELLI,6,0,0,0,0,0,0,0,0,0
KLAVAN,6.5,0,0,0,0,0,0,0,0,0
LYKOGIANNIS,6,0,0,0,0,0,0,0,0,0
CASTRO,7,1,0,0,0,0,0,0,0,0
IONITA,5.5,0,0,0,0,0,0,0,0,0
OLIVA,6.5,0,0,0,0,0,0,0,0,0
ROG,6,0,0,0,0,0,0,1,0,0
NANDEZ,6.5,0,0,0,0,0,0,0,0,1
SIMEONE,5.5,0,0,0,0,0,0,0,0,0
CERRI,6,0,0,0,0,0,0,0,0,0
JOAO PEDRO,6,0,0,0,0,0,0,0,0,0
DRAGOWSKI,6,0,1,0,0,0,0,0,0,0
MILENKOVIC,6,0,0,0,0,0,0,0,0,0
PEZZELLA GER,7,1,0,0,0,0,0,0,0,0
CACERES,6,0,0,0,0,0,0,0,0,0
LIROLA,5.5,0,0,0,0,0,0,1,0,0
DALBERT,6,0,0,0,0,0,0,1,0,1
PULGAR,6,0,0,0,0,0,0,1,0,0
BADELJ,6.5,0,0,0,0,0,0,0,0,0
RIBERY,7,0,0,0,0,0,0,0,0,1
BENASSI,6,0,0,0,0,0,0,0,0,0
CASTROVILLI,6.5,0,0,0,0,0,0,0,0,0
CHIESA,7,1,0,0,0,0,0,0,0,0
SOTTIL,6,0,0,0,0,0,0,1,0,0
VLAHOVIC,6,0,0,0,0,0,0,0,0,0
RADU I,6,0,0,0,0,0,0,0,0,0
PAJAC,6,0,0,0,0,0,0,0,0,0
GHIGLIONE,6.5,0,0,0,0,0,0,1,0,0
ROMERO C,6.5,0,0,0,0,0,0,1,0,0
ZAPATA C,5.5,0,0,0,0,0,0,1,0,0
BARRECA,6,0,0,0,0,0,0,0,0,0
CRISCITO,6.5,0,0,0,0,0,0,0,0,0
SAPONARA,5.5,0,0,0,0,0,0,0,0,0
SCHONE,5.5,0,0,0,0,0,0,0,0,0
LERAGER,5.5,0,0,0,0,0,0,1,0,0
RADOVANOVIC,6,0,0,0,0,0,0,1,0,0
FAVILLI,6,0,0,0,0,0,0,0,0,0
KOUAME',5,0,0,0,0,0,0,0,0,0
PINAMONTI,5,0,0,0,0,0,0,0,0,0
HANDANOVIC,7.5,0,0,0,0,0,0,0,0,0
DE VRIJ,7,0,0,0,0,0,0,0,0,0
GODIN,6.5,0,0,0,0,0,0,0,0,0
BIRAGHI,6.5,0,0,0,0,0,0,0,0,1
SKRINIAR,6.5,0,0,0,0,0,0,0,0,0
D'AMBROSIO,7,1,0,0,0,0,0,1,0,0
BARELLA,6.5,0,0,0,0,0,0,0,0,0
BROZOVIC,6,0,0,0,0,0,0,0,0,0
SENSI,6,0,0,0,0,0,0,0,0,0
VECINO,5.5,0,0,0,0,0,0,0,0,0
SANCHEZ A,6,0,0,0,0,0,0,0,0,0
POLITANO,5.5,0,0,0,0,0,0,0,0,0
LUKAKU R,6,0,0,0,0,0,0,0,0,0
MARTINEZ L,5.5,0,0,0,0,0,0,1,0,0
SZCZESNY,5.5,0,1,0,0,0,0,0,0,0
DANILO,6,0,0,0,0,0,0,0,0,0
ALEX SANDRO,6,0,0,0,0,0,0,0,0,0
BONUCCI,6.5,0,0,0,0,0,0,1,0,0
DE LIGT,6,0,0,0,0,0,0,1,0,0
KHEDIRA,6,0,0,0,0,0,0,1,0,0
MATUIDI,6,0,0,0,0,0,0,0,0,0
PJANIC,7,1,0,0,0,0,0,0,0,0
RABIOT,5,0,0,0,0,0,0,0,0,0
RAMSEY,6,0,0,0,0,0,0,0,0,0
BERNARDESCHI,5.5,0,0,0,0,0,0,0,0,0
CUADRADO,6,0,0,0,0,0,0,0,0,0
DYBALA,6.5,0,0,0,0,0,0,0,0,0
HIGUAIN,5,0,0,0,0,0,0,0,0,0
STRAKOSHA,6.5,0,1,0,0,0,0,0,0,0
ACERBI,6.5,0,0,0,0,0,0,0,0,0
BASTOS,6.5,0,0,0,0,0,0,1,0,0
LUIZ FELIPE,6,0,0,0,0,0,0,0,0,0
LUCAS LEIVA,5.5,0,0,0,0,0,0,0,0,0
LUIS ALBERTO,6,0,0,0,0,0,0,1,0,0
MILINKOVIC-SAVIC,5.5,0,0,0,0,0,0,0,0,0
PAROLO,6,0,0,0,0,0,0,1,0,0
BERISHA V,6,0,0,0,0,0,0,0,0,0
JONY,5,0,0,0,0,0,0,0,0,0
LAZZARI M,5.5,0,0,0,0,0,0,0,0,0
CAICEDO,6.5,0,0,0,0,0,0,0,0,0
CORREA,5.5,0,0,0,0,0,0,0,0,0
IMMOBILE,5.5,0,0,0,0,0,0,0,0,0
GABRIEL,7,0,1,0,0,0,0,0,0,0
RISPOLI,5.5,0,0,0,0,0,0,0,0,0
CALDERONI,7,1,0,0,0,0,0,1,0,0
LUCIONI,6.5,0,0,0,0,0,0,0,0,0
ROSSETTINI,6.5,0,0,0,0,0,0,0,0,0
TABANELLI,6.5,0,0,0,0,0,0,0,0,0
MAJER,6.5,0,0,0,0,0,0,0,0,0
IMBULA,6,0,0,0,0,0,0,0,0,0
MANCOSU,7.5,0,0,0,0,2,0,0,0,0
PETRICCIONE,6,0,0,0,0,0,0,0,0,0
SHAKHOV,6,0,0,0,0,0,0,0,0,0
FALCO,6,0,0,0,0,0,0,0,0,0
LA MANTIA,6,0,0,0,0,0,0,0,0,0
BABACAR,6.5,0,0,0,0,0,0,1,0,0
DONNARUMMA G,5,0,2,0,0,0,0,1,0,0
ROMAGNOLI A,6,0,0,0,0,0,0,1,0,0
CALABRIA,5.5,0,0,0,0,0,0,0,0,0
HERNANDEZ T,6,0,0,0,0,0,0,1,0,0
MUSACCHIO,5,0,0,0,0,0,0,1,0,0
BENNACER,6,0,0,0,0,0,0,1,0,0
BONAVENTURA,5.5,0,0,0,0,0,0,0,0,0
CALHANOGLU,6.5,0,0,0,0,0,0,0,0,0
KESSIE',5,0,0,0,0,0,0,0,0,0
