giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
GOLLINI,6,0,3,0,0,0,0,0,0,0
DJIMSITI,6,0,0,0,0,0,0,0,0,0
GOSENS,5,0,0,0,0,0,0,0,0,0
HATEBOER,5,0,0,0,0,0,0,1,0,0
ARANA,6,0,0,0,0,0,0,0,0,0
MASIELLO A,5.5,0,0,0,0,0,0,0,0,0
TOLOI,4.5,0,0,0,0,0,0,0,0,0
GOMEZ A,6,0,0,0,0,0,0,0,0,0
MALINOVSKYI,6,0,0,0,0,0,0,0,0,0
PASALIC,6.5,0,0,0,0,0,0,0,0,1
DE ROON,6,0,0,0,0,0,0,1,0,0
ILICIC,6.5,0,0,0,0,0,0,0,0,0
MURIEL,6,0,0,0,0,0,0,0,0,0
ZAPATA D,7.5,2,0,0,0,0,0,0,0,0
SKORUPSKI,6.5,0,0,0,0,0,0,0,0,0
DANILO LAR,6.5,0,0,0,0,0,0,1,0,0
DENSWIL,6,0,0,0,0,0,0,0,0,0
DIJKS,6,0,0,0,0,0,0,0,0,0
TOMIYASU,6.5,0,0,0,0,0,0,0,0,0
SORIANO,6.5,1,0,0,0,0,0,0,0,0
MEDEL,6,0,0,0,0,0,0,1,0,0
DZEMAILI,6,0,0,0,0,0,0,0,0,0
POLI,6.5,0,0,0,0,0,0,0,0,0
DESTRO,6,0,0,0,0,0,0,0,0,0
ORSOLINI,7,0,0,0,0,0,0,0,0,1
PALACIO,6,0,0,0,0,0,0,0,0,0
SANSONE N,6.5,0,0,0,0,0,0,0,0,0
SANTANDER,6,0,0,0,0,0,0,1,0,0
JORONEN,7,0,1,0,0,0,0,0,0,0
CHANCELLOR,6,0,0,0,0,0,0,0,0,0
CISTANA,6,0,0,0,0,0,0,1,0,0
MARTELLA,5.5,0,0,0,0,0,0,0,0,0
MATEJU,5.5,0,0,0,0,0,0,0,0,0
SABELLI,5.5,0,0,0,0,0,0,0,0,0
TONALI,6,0,0,0,0,0,0,1,0,0
TREMOLADA,5.5,0,0,0,0,0,0,0,0,0
BISOLI,5.5,0,0,0,0,0,0,1,0,0
DESSENA,5.5,0,0,0,0,0,0,1,0,0
SPALEK,5,0,0,0,0,0,0,0,0,0
AYE',6,0,0,0,0,0,0,0,0,0
DONNARUMMA AL,5.5,0,0,0,0,0,0,0,0,0
TORREGROSSA,6,0,0,0,0,0,0,0,0,0
OLSEN,6,0,2,0,0,0,0,0,0,0
PELLEGRINI LU,6,0,0,0,0,0,0,0,0,0
PISACANE,5,0,0,0,0,0,0,1,0,0
CEPPITELLI,6,0,0,0,0,0,0,1,0,0
KLAVAN,5.5,0,0,0,0,0,0,0,0,0
NANDEZ,6.5,0,0,0,0,0,0,1,0,1
CASTRO,6,0,0,0,0,0,0,0,0,0
CIGARINI,6,0,0,0,0,0,0,0,0,0
IONITA,6,0,0,0,0,0,0,1,0,0
ROG,6,0,0,0,0,0,0,0,0,0
NAINGGOLAN,6.5,0,0,0,0,0,0,1,0,0
CERRI,4.5,0,0,0,0,0,0,0,0,0
JOAO PEDRO,7,1,0,0,0,0,0,0,0,0
SIMEONE,6,0,0,0,0,0,0,0,0,0
DRAGOWSKI,6.5,0,2,0,0,0,0,0,0,0
LIROLA,5.5,0,0,0,0,0,0,0,0,0
MILENKOVIC,5.5,0,0,0,0,0,0,0,0,0
PEZZELLA GER,5.5,0,0,0,0,0,0,0,0,0
RANIERI L,5,0,0,0,0,0,0,0,0,0
DALBERT,6,0,0,0,0,0,0,0,0,0
RIBERY,6.5,0,0,0,0,0,0,0,0,0
CASTROVILLI,6.5,0,0,0,0,0,0,0,0,0
CHIESA,6.5,0,0,0,0,0,0,0,0,0
PULGAR,6,0,0,0,0,1,0,0,0,0
BADELJ,5.5,0,0,0,0,0,0,0,0,0
SOTTIL,5,0,0,0,0,0,0,0,0,0
VLAHOVIC,6,0,0,0,0,0,0,0,0,0
BOATENG,5,0,0,0,0,0,0,0,0,0
RADU I,7,0,1,0,0,0,0,0,0,1
ZAPATA C,7,1,0,0,0,0,0,0,0,0
PAJAC,6,0,0,0,0,0,0,0,0,0
BARRECA,6,0,0,0,0,0,0,0,0,0
