Nome,Acquistato
LUKAKU R,0
CRISTIANO RONALDO,0
ZAPATA D,0
JOAO PEDRO,0
DZEKO,0
CAPUTO,0
MARTINEZ L,0
ILICIC,0
MURIEL,0
DYBALA,0
MILIK,0
BELOTTI,0
CORREA,0
BERARDI,0
HIGUAIN,0
PALACIO,0
SIMEONE,0
MERTENS,0
BOGA,0
ORSOLINI,0
KOUAME',0
PIATEK,0
GABBIADINI,0
INSIGNE,0
LLORENTE,0
OKAKA,0
DONNARUMMA AL,0
GERVINHO,0
QUAGLIARELLA,0
PETAGNA,0
BALOTELLI,0
PANDEV,0
CAICEDO,0
FALCO,0
SANSONE N,0
LAPADULA,0
VLAHOVIC,0
CORNELIUS,0
ZAZA,0
PINAMONTI,0
LOZANO,0
SANCHEZ A,0
PAVOLETTI,0
LA MANTIA,0
LASAGNA,0
DI CARMINE,0
RAFAEL LEAO,0
FARIAS,0
SALCEDO E,0
DEFREL,0
INGLESE,0
BONAZZOLI,0
CAPRARI,0
NESTOROVSKI,0
TORREGROSSA,0
KARAMOH,0
SPROCATI,0
BOATENG,0
IAGO FALQUE,0
CERRI,0
BABACAR,0
PUSSETTO,0
PAZZINI,0
REBIC,0
DESTRO,0
SANTANDER,0
SKOV OLSEN,0
POLITANO,0
STEPINSKI,0
BARROW,0
RAGATZU,0
GUMUS,0
ESPOSITO SE,0
RIGONI E,0
AYE',0
SANABRIA,0
FLOCCARI,0
KALINIC,0
CLEONISE,0
SOTTIL,0
PALOSCHI,0
PEDRO,0
CAMBIAGHI,0
PICCOLI,0
JUWARA,0
HAN,0
THEREAU,0
FAVILLI,0
PJACA,0
ADEKANYE,0
LO FASO,0
TUTINO,0
ADORANTE,0
SILIGARDI,0
ANTONUCCI,0
CANGIANO,0
BAHLOULI,0
MATRI,0
RASPADORI,0
MONCINI,0
EDERA,0
MILLICO,0
RAUTI,0
TEODORCZYK,0
TUPTA,0
TRAORE' AM,0
