Nome,Acquistato
GOMEZ A,1
LUIS ALBERTO,1
NAINGGOLAN,1
KULUSEVSKI,1
RIBERY,0
CASTROVILLI,0
MILINKOVIC-SAVIC,1
PJANIC,1
PELLEGRINI LO,1
PASALIC,0
CHIESA,1
BROZOVIC,0
CANDREVA,0
ZANIOLO,1
ANSALDI,0
PULGAR,0
MKHITARYAN,0
CASTRO,0
MANCOSU,1
KUCKA,1
KLUIVERT,0
BERENGUER,0
NANDEZ,0
SENSI,0
VERETOUT,0
RAMIREZ,0
TRAORE' HJ,0
TONALI,0
BONAVENTURA,1
CALLEJON,1
DJURICIC,0
SORIANO,1
CALHANOGLU,0
PEROTTI,0
DUNCAN,0
KURTIC,0
MIGUEL VELOSO,0
DE ROON,1
ROMULO,0
BARELLA,0
FREULER,1
MALINOVSKYI,0
CIGARINI,1
BENTANCUR,1
RAMSEY,0
RUIZ,1
DE PAUL,1
LAZOVIC,0
PESSINA,0
ROG,1
GAGLIARDINI,0
LAZZARI M,0
SUSO,0
VERRE,1
DI FRANCESCO F,0
BASELLI,0
RINCON,0
ZACCAGNI,0
DZEMAILI,0
POLI,0
VECINO,0
VERDI,0
ZIELINSKI,0
AMRABAT,0
OLIVA,0
CUADRADO,0
LULIC,0
PETRICCIONE,0
ALLAN,0
BARILLA',1
UNDER,0
FOFANA,1
KREJCI,0
STURARO,0
DOUGLAS COSTA,1
MATUIDI,0
BADELJ,0
SCOZZARELLA,0
CRISTANTE,1
EKDAL,0
STREFEZZA,0
SEMA,0
BISOLI,0
BERNARDESCHI,0
KHEDIRA,0
MARUSIC,0
HERNANI,0
DIAWARA,0
PASTORE,0
JANKTO,1
LINETTY,1
LOCATELLI M,1
VALOTI,0
MANDRAGORA,0
SCHONE,0
AGUDELO,0
SVANBERG,0
SPALEK,1
IONITA,0
BENASSI,0
RADOVANOVIC,0
CATALDI,0
LUCAS LEIVA,0
PAROLO,0
MAJER,1
SHAKHOV,0
TABANELLI,0
GRASSI,0
MISSIROLI,0
MURGIA,0
BRUGMAN,0
FARAGO',0
BORJA VALERO,0
CAN,0
RABIOT,0
TACHTSIDIS,1
CASTILLEJO,1
KESSIE',0
KRUNIC,1
LAXALT,0
PAQUETA',0
MAGNANELLI,0
MEITE',0
JAJALO,0
GHEZZAL,0
LERAGER,0
LAZARO,0
BENNACER,1
ELMAS,0
VIEIRA,0
OBIANG,0
VALDIFIORI,0
LUKIC,0
BARAK,0
MEDEL,0
MOROSINI,0
NDOJ,1
BIRSA,0
SAPONARA,0
CASSATA,0
JAGIELLO,1
ROVELLA,1
BERISHA V,1
JONY,1
BIGLIA,0
THORSBY,0
ZMRHAL,0
WALACE,0
LERIS,0
BERTOLACCI,0
COLLEY E,1
SCHOUTEN,0
DESSENA,1
TREMOLADA,0
VIVIANI M,1
DEIOLA,0
CRISTOFORO,0
DABO,0
EYSSERIC,0
MONTIEL,0
ZURKOWSKI,0
SANDRO,1
ZENNARO,0
AGOUME,0
FAGIOLI,0
PORTANOVA,1
ANDERSON A,0
BORINI,1
CICIRETTI,0
GAETANO,0
YOUNES,1
RICCARDI,0
BARRETO,0
MARONI,0
BOURABIA,0
MAZZITELLI,0
D'ALESSANDRO,0
FARES,1
JANKOVIC,0
DE ANGELIS,0
PARIGINI,0
BADU,0
BESSA,0
DANZI,0
DI GAUDIO,0
HENDERSON L,0
LUCAS FELIPPE,0
IMBULA,0
