Nome,Acquistato
GOSENS,1
BONUCCI,1
HERNANDEZ T,1
SMALLING,1
DE VRIJ,1
KOLAROV,1
MILENKOVIC,0
ACERBI,1
FARAONI,1
CRISCITO,1
MANOLAS,1
CALDERONI,0
DI LORENZO,0
CASTAGNE,0
TOLOI,1
GHIGLIONE,1
SKRINIAR,1
CHIELLINI,0
MANCINI G,0
IZZO,0
DARMIAN,0
DJIMSITI,0
BANI,0
DALBERT,0
D'AMBROSIO,0
GODIN,0
ROMAGNOLI A,0
IACOPONI,1
CISTANA,0
PISACANE,0
BRUNO ALVES,0
GAGLIOLO,0
TOLJAN,0
RRAHMANI,0
HATEBOER,0
DANILO LAR,0
SABELLI,0
CEPPITELLI,0
BIRAGHI,1
PEZZELLA GER,0
ASAMOAH,0
ALEX SANDRO,1
DE LIGT,0
PELLEGRINI LU,0
MAKSIMOVIC,0
SPINAZZOLA,0
DANILO,0
CACERES,0
KYRIAKOPOULOS,1
CHANCELLOR,0
ROMERO C,1
LUIZ FELIPE,0
RADU,0
LUCIONI,0
ROSSETTINI,0
DERMAKU,1
FLORENZI,0
COLLEY,0
MARLON,0
VICARI,0
STRYGER LARSEN,0
KUMBULLA,0
TOMIYASU,0
KLAVAN,0
KOULIBALY,0
MURRU,1
LIROLA,0
N'KOULOU,0
NUYTINCK,0
RODRIGO BECAO,0
TROOST-EKONG,1
MULDUR,0
PALOMINO,0
ROMAGNA,0
DEMIRAL,1
DEPAOLI,0
BONIFAZI,1
DE SILVESTRI,0
ANKERSEN,0
MASIELLO A,0
RECA,0
DENSWIL,0
PAZ,1
MARTELLA,0
MATEJU,0
CACCIATORE,0
PAJAC,0
ZAPATA C,0
BASTONI,0
LUKAKU J,0
PATRIC,1
CALABRIA,0
CONTI,1
MUSACCHIO,0
MALCUIT,1
FAZIO,0
BERESZYNSKI,0
FERRARI A,0
MURILLO,1
PELUSO,0
CIONEK,0
IGOR,1
AINA,0
BREMER,0
PEZZELLA GIU,0
SAMIR,0
GUNTER,1
RISPOLI,0
TOMOVIC,0
ARANA,0
MBAYE,1
LYKOGIANNIS,0
CECCHERINI,0
BARRECA,0
BIRASCHI,0
DE SCIGLIO,0
BASTOS,0
MECCARIELLO,1
RODRIGUEZ R,0
GHOULAM,0
LUPERTO,1
MARIO RUI,1
SANTON,0
AUGELLO,0
SALA,0
FERRARI G,0
FELIPE,0
LYANCO,0
DE MAIO,1
OPOKU,0
TER AVEST,0
VITALE L,0
DUARTE,0
KJAER,0
IBANEZ,1
OKOLI,0
CORBO,0
DIJKS,1
CURCIO,0
GASTALDELLO,0
MANGRAVITI,0
SEMPRINI,1
MATTIELLO,1
PINNA,0
WALUKIEWICZ,0
RANIERI L,0
RASMUSSEN,0
TERZIC,0
VENUTI,0
EL YAMIQ,0
DIMARCO,0
RANOCCHIA,0
RUGANI,0
CASASOLA,0
DURMISI,0
JORGE SILVA,0
VAVRO,0
BENZAR,0
FIAMOZZI,1
GALLO,0
RICCARDI D,1
VERA,0
CALDARA,0
GABBIA,0
CHIRICHES,1
HYSAJ,0
TONELLI,0
LAURINI,0
BIANDA,1
BOUAH,0
JUAN JESUS,0
CHABOT,0
REGINI,0
ADJAPONG,0
DELL'ORCO,0
GOLDANIGA,0
MAGNANI,1
ROGERIO,0
TRIPALDELLI,0
SALAMON,0
BUONGIORNO,0
DJIDJI,0
SIERRALTA,0
BOCCHETTI,1
CRESCENZI,1
DAWIDOWICZ,1
EMPEREUR,0
CIPRIANO,0
CETIN,1
ZAPPACOSTA,0
GASOLINA WESLEY,0
DONATI,0
