Nome,Acquistato
STRAKOSHA,1
HANDANOVIC,1
SZCZESNY,1
SEPE,1
DONNARUMMA G,1
PAU LOPEZ,1
MERET,1
SIRIGU,0
BERISHA E,0
GOLLINI,1
JORONEN,0
OLSEN,1
MUSSO,0
SILVESTRI,0
DRAGOWSKI,0
BUFFON,0
GABRIEL,0
AUDERO,0
CONSIGLI,0
SKORUPSKI,1
OSPINA,0
RADU I,0
PEGOLO,0
ALFONSO,0
CRAGNO,0
RAFAEL,0
TURATI,0
ROSSI F,1
SPORTIELLO,0
DA COSTA,0
SARR M,0
ANDRENACCI,0
ARESTI,0
BRANCOLINI,0
CEROFOLINI,0
TERRACCIANO,1
JANDREI,0
MARCHETTI,0
VODISEK,0
BERNI,0
PADELLI,0
PERIN,1
PINSOGLIO,0
GUERRIERI,0
PROTO,0
BLEVE,1
VIGORITO,0
DONNARUMMA AN,0
REINA,0
KARNEZIS,1
COLOMBI,0
FUZATO,1
MIRANTE,0
FALCONE,0
THIAM D,0
ROSATI,0
ZACCAGNO,0
NICOLAS,1
PERISAN,0
BERARDI A,0
RADUNOVIC,0
ALASTRA,1
RUSSO A,0
LETICA,0
AVOGADRI,0
SECULIN,0
UJKANI,0
