giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
GOLLINI,6.5,0,2,0,0,0,0,0,0,0
DJIMSITI,5.5,0,0,0,0,0,0,0,0,0
GOSENS,7,1,0,0,0,0,0,0,0,0
HATEBOER,5.5,0,0,0,0,0,0,0,0,1
MASIELLO A,5,0,0,0,0,0,0,0,0,0
PALOMINO,5.5,0,0,0,0,0,0,0,0,0
TOLOI,6*,0,0,0,0,0,0,0,0,0
DE ROON,6,0,0,0,0,0,0,1,0,0
FREULER,5.5,0,0,0,0,0,0,0,0,0
GOMEZ A,6.5,0,0,0,0,0,0,0,0,1
MALINOVSKYI,6.5,0,0,0,0,0,0,0,0,0
PASALIC,6,0,0,0,0,0,0,0,0,0
MURIEL,8,2,0,0,0,0,0,0,0,0
ZAPATA D,6,0,0,0,0,0,0,0,0,0
SKORUPSKI,6,0,1,0,0,0,0,0,0,0
DANILO LAR,6,0,0,0,0,0,0,0,0,0
DENSWIL,6,0,0,0,0,0,0,1,0,0
DIJKS,5.5,0,0,0,0,0,0,1,0,0
TOMIYASU,6.5,0,0,0,0,0,0,0,0,0
SORIANO,5.5,0,0,0,0,0,0,0,0,0
DZEMAILI,6,0,0,0,0,0,0,0,0,0
KINGSLEY,6,0,0,0,0,0,0,0,0,0
POLI,5.5,0,0,0,0,0,0,0,0,0
DESTRO,5.5,0,0,0,0,0,0,1,0,0
ORSOLINI,6.5,0,0,0,0,0,0,0,0,0
PALACIO,5,0,0,0,0,0,0,0,0,0
SANSONE N,6.5,0,0,0,0,1,0,0,0,0
SANTANDER,5.5,0,0,0,0,0,0,0,0,0
JORONEN,7,0,0,0,0,0,0,0,0,0
CHANCELLOR,6.5,0,0,0,0,0,0,0,0,0
CISTANA,7,0,0,0,0,0,0,0,0,0
GASTALDELLO,6*,0,0,0,0,0,0,0,0,0
MARTELLA,5,0,0,0,0,0,0,0,0,0
SABELLI,6,0,0,0,0,0,0,0,0,0
SPALEK,6,0,0,0,0,0,0,0,0,0
ZMRHAL,5.5,0,0,0,0,0,0,0,0,0
TONALI,6.5,0,0,0,0,0,0,0,0,0
BISOLI,6,0,0,0,0,0,0,0,0,0
DESSENA,6,0,0,0,0,0,0,1,0,0
AYE',5,0,0,0,0,0,0,1,0,0
DONNARUMMA AL,7,0,0,0,0,1,0,0,0,0
RAFAEL,6.5,0,1,0,0,0,0,0,0,0
LYKOGIANNIS,5,0,0,0,0,0,0,1,0,0
PINNA,6.5,0,0,0,0,0,0,1,0,0
CEPPITELLI,6,0,0,0,0,0,0,0,0,0
KLAVAN,5,0,0,0,0,0,0,0,0,0
BIRSA,6,0,0,0,0,0,0,0,0,0
CASTRO,6.5,0,0,0,0,0,0,0,0,0
IONITA,5.5,0,0,0,0,0,0,0,0,0
NANDEZ,6,0,0,0,0,0,0,0,0,0
NAINGGOLAN,5.5,0,0,0,0,0,0,0,0,0
PAVOLETTI,5.5,0,0,0,0,0,0,0,0,0
RAGATZU,6,0,0,0,0,0,0,0,0,0
CERRI,5.5,0,0,0,0,0,0,0,0,0
JOAO PEDRO,5.5,0,0,0,0,0,0,0,0,0
DRAGOWSKI,5.5,0,4,0,0,0,0,0,0,0
MILENKOVIC,6.5,1,0,0,0,0,0,0,0,0
PEZZELLA GER,5,0,0,0,0,0,0,1,0,0
VENUTI,5,0,0,0,0,0,0,0,0,0
LIROLA,5,0,0,0,0,0,0,0,0,0
PULGAR,7.5,0,0,0,0,1,0,0,0,0
CASTROVILLI,7,0,0,0,0,0,0,0,0,1
BADELJ,5.5,0,0,0,0,0,0,0,0,0
CHIESA,7,0,0,0,0,0,0,0,0,0
RIBERY,6,0,0,0,0,0,0,0,0,0
BENASSI,5.5,0,0,0,0,0,0,0,0,0
BOATENG,7,1,0,0,0,0,0,1,0,0
SOTTIL,7,0,0,0,0,0,0,0,0,0
VLAHOVIC,5.5,0,0,0,0,0,0,0,0,0
RADU I,5.5,0,3,0,0,0,0,0,0,0
EL YAMIQ,6,0,0,0,0,0,0,0,0,0
GHIGLIONE,6.5,0,0,0,0,0,0,0,0,1
ROMERO C,5.5,0,0,0,0,0,0,1,0,1
ZAPATA C,4.5,0,0,0,0,0,0,0,0,0
BARRECA,5,0,0,0,0,0,0,0,0,0
CRISCITO,6.5,0,0,0,0,1,0,0,0,0
SCHONE,6,0,0,0,0,0,0,0,0,0
LERAGER,5.5,0,0,0,0,0,0,0,0,0
RADOVANOVIC,6.5,0,0,0,0,0,0,0,0,0
KOUAME',7,1,0,0,0,0,0,0,0,0
