giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
GOLLINI,6.5,0,1,0,0,0,0,0,0,0
DJIMSITI,5.5,0,0,0,0,0,0,0,0,0
GOSENS,6.5,0,0,0,0,0,0,0,0,0
HATEBOER,5.5,0,0,0,0,0,0,1,0,0
MASIELLO A,6,0,0,0,0,0,0,1,0,0
TOLOI,6.5,0,0,0,0,0,0,0,0,0
DE ROON,6,0,0,0,0,0,0,0,0,1
FREULER,6,0,0,0,0,0,0,0,0,0
GOMEZ A,6,0,0,0,0,0,0,0,0,0
PASALIC,5.5,0,0,0,0,0,0,0,0,0
ILICIC,5.5,0,0,0,0,0,0,1,0,0
MURIEL,7,0,0,0,0,1,0,0,0,0
ZAPATA D,7.5,1,0,0,0,0,0,0,0,0
SKORUPSKI,6,0,3,0,0,0,0,0,0,0
BANI,6.5,1,0,0,0,0,0,1,0,0
DENSWIL,5.5,0,0,0,0,0,0,1,0,0
DIJKS,6,0,0,0,0,0,0,0,0,0
TOMIYASU,6,0,0,0,0,0,0,0,0,0
SORIANO,5.5,0,0,0,0,0,0,1,0,0
MEDEL,5.5,0,0,0,0,0,0,1,0,0
DZEMAILI,5.5,0,0,0,0,0,0,0,0,0
POLI,6.5,0,0,0,0,0,0,0,0,0
ORSOLINI,7.5,1,0,0,0,0,0,0,0,1
PALACIO,7.5,1,0,0,0,0,0,0,0,1
SANSONE N,6,0,0,0,0,0,0,0,0,0
SANTANDER,5,0,0,0,0,0,0,1,0,0
SKOV OLSEN,6,0,0,0,0,0,0,1,0,0
JORONEN,5.5,0,4,0,0,0,0,0,0,0
CHANCELLOR,5,0,0,0,0,0,0,0,0,0
CISTANA,6.5,1,0,0,0,0,0,0,0,0
MATEJU,5.5,0,0,0,0,0,0,0,0,1
SABELLI,5.5,0,0,0,0,0,1,0,0,0
TONALI,6.5,0,0,0,0,0,0,0,0,0
ROMULO,6.5,0,0,0,0,0,0,0,0,1
ZMRHAL,6,0,0,0,0,0,0,0,0,0
BISOLI,6,0,0,0,0,0,0,0,0,0
DESSENA,4.5,0,0,0,0,0,0,0,1,0
SPALEK,6,0,0,0,0,0,0,0,0,0
AYE',5.5,0,0,0,0,0,0,0,0,0
DONNARUMMA AL,7.5,2,0,0,0,0,0,0,0,0
MATRI,6,0,0,0,0,0,0,0,0,0
OLSEN,7,0,1,0,0,0,0,0,0,0
PISACANE,6,0,0,0,0,0,0,0,0,0
CACCIATORE,6,0,0,0,0,0,0,0,0,0
PELLEGRINI LU,6,0,0,0,0,0,0,1,0,0
CEPPITELLI,8,2,0,0,0,0,0,1,0,0
KLAVAN,6,0,0,0,0,0,0,0,0,0
LYKOGIANNIS,6,0,0,0,0,0,0,0,0,0
